ticker,timestamp,open,high,low,close,volume
AAPL,2025-03-31 04:00:00,215.7400,216.6900,215.7400,216.6400,3420
AMZN,2025-03-31 04:00:00,191.3500,191.7000,189.9000,190.4200,12275
MSFT,2025-03-31 04:00:00,373.9400,376.4100,373.9400,376.4100,3854
TSLA,2025-03-31 04:00:00,254.2000,255.7300,253.5100,254.8200,28970
AAPL,2025-03-31 04:01:00,216.3000,216.4600,216.2900,216.4600,415
AMZN,2025-03-31 04:01:00,190.1500,190.3200,190.1500,190.3200,350
MSFT,2025-03-31 04:01:00,375.9900,375.9900,375.6100,375.6100,578
TSLA,2025-03-31 04:01:00,254.7800,254.9800,254.4000,254.8200,5845
AAPL,2025-03-31 04:02:00,216.3500,216.5200,216.1600,216.1600,1141
AMZN,2025-03-31 04:02:00,190.3600,190.4900,190.3600,190.4500,1743
TSLA,2025-03-31 04:02:00,254.9100,255.9600,254.6500,255.2600,12857
AAPL,2025-03-31 04:03:00,216.0800,216.2100,216.0100,216.1100,1114
AMZN,2025-03-31 04:03:00,190.2300,190.2600,190.2300,190.2600,505
TSLA,2025-03-31 04:03:00,255.3400,255.3400,253.8000,253.8000,8485
AAPL,2025-03-31 04:04:00,215.8200,216.0100,215.8200,216.0100,503
AMZN,2025-03-31 04:04:00,190.2000,190.2000,190.1400,190.1500,1264
MSFT,2025-03-31 04:04:00,375.3700,375.3700,375.3700,375.3700,130
TSLA,2025-03-31 04:04:00,253.6900,253.8000,252.8600,252.8600,16065
AAPL,2025-03-31 04:05:00,215.8200,216.0200,215.8200,216.0200,870
AMZN,2025-03-31 04:05:00,190.1900,190.1900,190.0400,190.0600,3646
MSFT,2025-03-31 04:05:00,375.5000,375.5000,375.1100,375.1400,454
TSLA,2025-03-31 04:05:00,253.0000,253.3600,252.6600,253.0200,7927
AAPL,2025-03-31 04:06:00,215.8900,215.8900,215.6500,215.7700,1348
AMZN,2025-03-31 04:06:00,190.0600,190.0900,189.9600,190.0200,1784
MSFT,2025-03-31 04:06:00,375.0600,375.0600,375.0100,375.0100,600
TSLA,2025-03-31 04:06:00,253.0600,254.4900,253.0600,254.4900,11704
AAPL,2025-03-31 04:07:00,215.8000,215.8100,215.7100,215.7800,1252
AMZN,2025-03-31 04:07:00,190.0700,190.0900,190.0200,190.0200,750
TSLA,2025-03-31 04:07:00,254.6000,254.7900,253.8100,254.0000,5854
AAPL,2025-03-31 04:08:00,215.8100,215.8100,215.8100,215.8100,187
AMZN,2025-03-31 04:08:00,190.0500,190.0500,189.0000,189.8600,6714
TSLA,2025-03-31 04:08:00,254.0000,254.2900,253.7700,254.0400,11824
AAPL,2025-03-31 04:09:00,216.0000,216.4700,216.0000,216.4700,450
AMZN,2025-03-31 04:09:00,189.8100,189.8500,189.8100,189.8500,406
MSFT,2025-03-31 04:09:00,375.0100,375.0100,375.0100,375.0100,100
TSLA,2025-03-31 04:09:00,254.0500,254.5700,254.0000,254.0000,3995
AMZN,2025-03-31 04:10:00,190.0200,190.0200,190.0200,190.0200,250
MSFT,2025-03-31 04:10:00,375.0100,375.0100,374.8000,374.8000,310
TSLA,2025-03-31 04:10:00,254.1700,254.2300,252.5000,252.5000,24622
AMZN,2025-03-31 04:11:00,190.0000,190.0000,190.0000,190.0000,100
TSLA,2025-03-31 04:11:00,252.5000,253.8200,252.5000,253.8200,11489
AAPL,2025-03-31 04:12:00,216.4100,216.4100,216.4100,216.4100,100
AMZN,2025-03-31 04:12:00,190.0300,190.1000,190.0300,190.1000,655
MSFT,2025-03-31 04:12:00,375.0100,375.0100,375.0100,375.0100,100
TSLA,2025-03-31 04:12:00,253.5000,253.8300,253.3000,253.7500,6041
AAPL,2025-03-31 04:13:00,216.1800,216.1800,216.1800,216.1800,155
AMZN,2025-03-31 04:13:00,190.1000,190.1000,190.1000,190.1000,100
TSLA,2025-03-31 04:13:00,253.6500,253.8000,253.5300,253.6300,3897
AAPL,2025-03-31 04:14:00,216.2800,216.2900,216.1800,216.2900,415
AMZN,2025-03-31 04:14:00,190.0700,190.1000,190.0100,190.0100,414
TSLA,2025-03-31 04:14:00,253.7000,253.7800,253.2900,253.3500,4338
AAPL,2025-03-31 04:15:00,216.5000,216.8500,216.5000,216.8500,898
TSLA,2025-03-31 04:15:00,253.5200,254.0700,253.5200,254.0000,5266
AMZN,2025-03-31 04:16:00,189.9900,189.9900,189.9900,189.9900,100
TSLA,2025-03-31 04:16:00,253.9500,253.9600,253.0100,253.5700,3780
AAPL,2025-03-31 04:17:00,216.4800,216.4800,216.3900,216.3900,250
AMZN,2025-03-31 04:17:00,189.9500,189.9500,189.0600,189.0600,1856
MSFT,2025-03-31 04:17:00,375.0100,375.0100,375.0100,375.0100,100
TSLA,2025-03-31 04:17:00,253.6000,254.1000,253.5500,253.5500,3266
AAPL,2025-03-31 04:18:00,216.3800,216.5100,216.1700,216.1800,2220
AMZN,2025-03-31 04:18:00,189.6000,189.8800,189.6000,189.8800,910
TSLA,2025-03-31 04:18:00,253.6800,253.7700,253.2800,253.2800,6176
AAPL,2025-03-31 04:19:00,216.1600,216.1600,216.1600,216.1600,100
TSLA,2025-03-31 04:19:00,253.2100,253.2800,252.8000,253.2800,6662
AMZN,2025-03-31 04:20:00,189.4100,189.5900,189.4100,189.5900,365
TSLA,2025-03-31 04:20:00,253.2700,253.2700,252.5200,252.5400,3529
AAPL,2025-03-31 04:21:00,216.0400,216.0400,215.6200,215.7100,1862
AMZN,2025-03-31 04:21:00,189.4800,189.4800,189.4800,189.4800,194
TSLA,2025-03-31 04:21:00,252.5500,253.0700,252.5500,252.9000,7337
AAPL,2025-03-31 04:22:00,215.8200,215.8200,215.8200,215.8200,100
TSLA,2025-03-31 04:22:00,252.8000,252.8000,252.5500,252.6500,3320
TSLA,2025-03-31 04:23:00,252.6800,252.7000,252.3100,252.5600,4026
AMZN,2025-03-31 04:24:00,189.7400,189.7400,189.7400,189.7400,148
MSFT,2025-03-31 04:24:00,374.6900,374.7400,374.6900,374.7400,200
TSLA,2025-03-31 04:24:00,252.6000,252.6000,252.3400,252.4700,1411
AAPL,2025-03-31 04:25:00,215.5800,215.5800,215.5800,215.5800,250
TSLA,2025-03-31 04:25:00,252.2000,252.5200,252.2000,252.3000,6046
AAPL,2025-03-31 04:26:00,215.7300,215.7300,215.7300,215.7300,100
TSLA,2025-03-31 04:26:00,252.3100,252.9000,252.3100,252.9000,8748
AMZN,2025-03-31 04:27:00,189.7100,189.7100,189.7100,189.7100,100
TSLA,2025-03-31 04:27:00,252.8600,253.1900,252.5200,253.1200,9914
AAPL,2025-03-31 04:28:00,215.9700,215.9700,215.9700,215.9700,250
TSLA,2025-03-31 04:28:00,253.0200,253.0200,252.8600,252.8600,1428
AAPL,2025-03-31 04:29:00,215.7700,215.7700,215.6800,215.6800,900
AMZN,2025-03-31 04:29:00,189.6000,189.6000,189.5400,189.5400,1043
